Designator,Mid X,Mid Y,Layer,Rotation
C1,18.24,127.25,T,90.00
C1,38.02,127.25,T,90.00
C1,57.80,127.25,T,90.00
C1,77.58,127.25,T,90.00
C1,97.36,127.25,T,90.00
C1,117.14,127.25,T,90.00
C1,136.92,127.25,T,90.00
C1,156.70,127.25,T,90.00
C1,176.48,127.25,T,90.00
C1,196.26,127.25,T,90.00
C1,18.24,99.25,T,90.00
C1,38.02,99.25,T,90.00
C1,57.80,99.25,T,90.00
C1,77.58,99.25,T,90.00
C1,97.36,99.25,T,90.00
C1,117.14,99.25,T,90.00
C1,136.92,99.25,T,90.00
C1,156.70,99.25,T,90.00
C1,176.48,99.25,T,90.00
C1,196.26,99.25,T,90.00
C1,18.24,71.25,T,90.00
C1,38.02,71.25,T,90.00
C1,57.80,71.25,T,90.00
C1,77.58,71.25,T,90.00
C1,97.36,71.25,T,90.00
C1,117.14,71.25,T,90.00
C1,136.92,71.25,T,90.00
C1,156.70,71.25,T,90.00
C1,176.48,71.25,T,90.00
C1,196.26,71.25,T,90.00
C1,18.24,43.25,T,90.00
C1,38.02,43.25,T,90.00
C1,57.80,43.25,T,90.00
C1,77.58,43.25,T,90.00
C1,97.36,43.25,T,90.00
C1,117.14,43.25,T,90.00
C1,136.92,43.25,T,90.00
C1,156.70,43.25,T,90.00
C1,176.48,43.25,T,90.00
C1,196.26,43.25,T,90.00
C1,18.24,15.25,T,90.00
C1,38.02,15.25,T,90.00
C1,57.80,15.25,T,90.00
C1,77.58,15.25,T,90.00
C1,97.36,15.25,T,90.00
C1,117.14,15.25,T,90.00
C1,136.92,15.25,T,90.00
C1,156.70,15.25,T,90.00
C1,176.48,15.25,T,90.00
C1,196.26,15.25,T,90.00
C2,20.76,126.56,T,0.00
C2,40.54,126.56,T,0.00
C2,60.32,126.56,T,0.00
C2,80.10,126.56,T,0.00
C2,99.88,126.56,T,0.00
C2,119.66,126.56,T,0.00
C2,139.44,126.56,T,0.00
C2,159.22,126.56,T,0.00
C2,179.00,126.56,T,0.00
C2,198.78,126.56,T,0.00
C2,20.76,98.56,T,0.00
C2,40.54,98.56,T,0.00
C2,60.32,98.56,T,0.00
C2,80.10,98.56,T,0.00
C2,99.88,98.56,T,0.00
C2,119.66,98.56,T,0.00
C2,139.44,98.56,T,0.00
C2,159.22,98.56,T,0.00
C2,179.00,98.56,T,0.00
C2,198.78,98.56,T,0.00
C2,20.76,70.56,T,0.00
C2,40.54,70.56,T,0.00
C2,60.32,70.56,T,0.00
C2,80.10,70.56,T,0.00
C2,99.88,70.56,T,0.00
C2,119.66,70.56,T,0.00
C2,139.44,70.56,T,0.00
C2,159.22,70.56,T,0.00
C2,179.00,70.56,T,0.00
C2,198.78,70.56,T,0.00
C2,20.76,42.56,T,0.00
C2,40.54,42.56,T,0.00
C2,60.32,42.56,T,0.00
C2,80.10,42.56,T,0.00
C2,99.88,42.56,T,0.00
C2,119.66,42.56,T,0.00
C2,139.44,42.56,T,0.00
C2,159.22,42.56,T,0.00
C2,179.00,42.56,T,0.00
C2,198.78,42.56,T,0.00
C2,20.76,14.56,T,0.00
C2,40.54,14.56,T,0.00
C2,60.32,14.56,T,0.00
